Processor,Array Size,Order Type, Algorithm, time, Executed Lines
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,2,1,1500,600
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,2,1,1200,600
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,2,1,1200,600
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,2,1,1200,600
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,2,1,1400,600
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,2,1,1100,600
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\100,2,1,1100,600
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,0,0,2740300,1501493
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,0,0,1864400,1501493
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,0,0,1971500,1501493
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,0,0,1764900,1501493
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,0,0,2810500,1501493
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,0,0,3072400,1501493
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,0,0,4805200,1501493
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,0,0,1870200,1501493
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,0,0,4762500,1501493
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,0,0,3453200,1501493
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,0,1,9100,6000
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,0,1,9500,6000
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,0,1,8900,6000
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,0,1,9700,6000
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,0,1,8500,6000
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,0,1,9300,6000
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,0,1,9700,6000
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,0,1,8700,6000
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,0,1,9500,6000
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,0,1,9700,6000
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,1,0,2864600,3499485
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,1,0,3909000,1501493
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,1,0,1917600,1501493
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,1,0,2987100,1501493
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,1,0,3225700,1501493
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,1,0,1823400,1501493
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,1,0,2061599,1501493
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,1,0,4322200,1501493
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,1,0,1775600,1501493
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,1,0,2926100,1501493
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,1,1,9700,6000
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,1,1,9900,6000
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,1,1,12100,6000
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,1,1,8800,6000
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,1,1,8800,6000
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,1,1,9400,6000
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,1,1,9600,6000
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,1,1,8200,6000
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,1,1,16000,6000
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,1,1,10100,6000
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,2,0,4000200,2492317
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,2,0,2174300,1501493
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,2,0,2646900,1501493
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,2,0,2041700,1501493
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,2,0,1764100,1501493
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,2,0,2056000,1501493
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,Data\Arrays\1000,2,0,2957100,1501493
